Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-10-03,112.71,113.05,112.28,112.52,21701760.0,0.0,1.0,110.74312784112,111.07719459177,110.32063165647,110.55644348046,21701760.0
2016-10-04,113.06,114.31,112.63,113.0,29736835.0,0.0,1.0,111.08702008444,112.31520666772,110.66452389979,111.02806712844,29736835.0
2016-10-05,113.4,113.66,112.69,113.05,21453089.0,0.0,1.0,111.42108683509,111.67654964441,110.72347685579,111.07719459177,21453089.0
2016-10-06,113.7,114.34,113.13,113.89,28779313.0,0.0,1.0,111.71585161508,112.34468314572,111.1557985331,111.90253597573,28779313.0
2016-10-07,114.31,114.56,113.51,114.06,24358443.0,0.0,1.0,112.31520666772,112.56084398437,111.52916725442,112.06956935106,24358443.0
2016-10-10,115.02,116.75,114.72,116.05,36235956.0,0.0,1.0,113.01281664702,114.71262687828,112.71805186703,114.02484239164,36235956.0
2016-10-11,117.7,118.69,116.2,116.3,64041043.0,0.0,1.0,115.64604868157,116.61877245553,114.17222478163,114.2704797083,64041043.0
2016-10-12,117.35,117.98,116.75,117.34,37586787.0,0.0,1.0,115.30215643825,115.92116247622,114.71262687828,115.29233094559,37586787.0
2016-10-13,116.79,117.44,115.72,116.98,35192406.0,0.0,1.0,114.75192884894,115.39058587225,113.70060113366,114.9386132096,35192406.0
2016-10-14,117.88,118.17,117.13,117.63,35652191.0,0.0,1.0,115.82290754956,116.10784683688,115.08599559959,115.57727023291,35652191.0
2016-10-17,117.33,117.84,116.78,117.55,23624896.0,0.0,1.0,115.28250545292,115.7836055789,114.74210335628,115.49866629158,23624896.0
2016-10-18,118.18,118.21,117.45,117.47,24553478.0,0.0,1.0,116.11767232955,116.14714880755,115.40041136491,115.42006235025,24553478.0
2016-10-19,117.25,117.76,113.8,117.12,20034594.0,0.0,1.0,115.20390151159,115.70500163757,111.81410654174,115.07617010693,20034594.0
2016-10-20,116.86,117.38,116.33,117.06,24125801.0,0.0,1.0,114.82070729761,115.33163291625,114.2999561863,115.01721715093,24125801.0
2016-10-21,116.81,116.91,116.28,116.6,23192665.0,0.0,1.0,114.77157983428,114.86983476094,114.25082872296,114.56524448828,23192665.0
2016-10-24,117.1,117.74,117.0,117.65,23538673.0,0.0,1.0,115.0565191216,115.68535065223,114.95826419493,115.59692121824,23538673.0
2016-10-25,117.95,118.36,117.31,118.25,48128970.0,0.0,1.0,115.89168599823,116.29453119754,115.26285446759,116.18645077821,48128970.0
2016-10-26,114.31,115.7,113.31,115.59,66134219.0,0.0,1.0,112.31520666772,113.68095014832,111.33265740109,113.57286972899,66134219.0
2016-10-27,115.39,115.86,114.1,114.48,34562045.0,0.0,1.0,113.37635987567,113.83815803098,112.10887132173,112.48224004304,34562045.0
2016-10-28,113.87,115.21,113.45,113.72,37861662.0,0.0,1.0,111.8828849904,113.19950100768,111.47021429842,111.73550260041,37861662.0
2016-10-31,113.65,114.23,113.2,113.54,26419398.0,0.0,1.0,111.66672415175,112.23660272639,111.22457698176,111.55864373242,26419398.0
2016-11-01,113.46,113.77,110.53,111.49,43825812.0,0.0,1.0,111.48003979109,111.78463006374,108.60117043988,109.54441773584,43825812.0
2016-11-02,111.4,112.35,111.23,111.59,28331709.0,0.0,1.0,109.45598830184,110.38941010513,109.28895492652,109.6426726625,28331709.0
2016-11-03,110.98,111.46,109.55,109.83,26932602.0,0.57,1.0,109.60923485504,110.08330615374,108.19689744431,108.47343903522,26932602.0
2016-11-04,108.53,110.25,108.11,108.84,30836997.0,0.0,1.0,107.18949593456,108.88825142159,106.77468354819,107.49566698164,30836997.0
2016-11-07,110.08,110.51,109.46,110.41,32560000.0,0.0,1.0,108.72035116996,109.14504004172,108.1080090758,109.04627518782,32560000.0
2016-11-08,110.31,111.72,109.7,111.06,24254179.0,0.0,1.0,108.94751033393,110.34009477388,108.34504472515,109.68824673815,24254179.0
2016-11-09,109.88,111.32,108.05,110.88,59176361.0,0.0,1.0,108.52282146217,109.94503535829,106.71542463585,109.51047000114,59176361.0
2016-11-10,111.09,111.09,105.83,107.79,57134541.0,0.0,1.0,109.71787619432,109.71787619432,104.52284487933,106.45863601572,57134541.0
2016-11-11,106.92,108.87,106.55,108.43,34143898.0,0.0,1.0,105.59938178681,107.52529643781,105.23395182739,107.09073108066,34143898.0
2016-11-14,107.32,107.809,104.08,105.71,51175504.0,0.0,1.0,105.9944412024,106.47740133796,102.79445993613,104.40432705466,51175504.0
2016-11-15,106.57,107.68,106.1593,107.11,32264510.0,0.0,1.0,105.25370479817,106.34999467643,104.84807754322,105.78703500922,32264510.0
2016-11-16,106.7,110.23,106.6,109.99,58840522.0,0.0,1.0,105.38209910824,108.86849845081,105.28333425434,108.63146280145,58840522.0
2016-11-17,109.81,110.35,108.83,109.95,27632003.0,0.0,1.0,108.45368606444,108.98701627548,107.48579049625,108.5919568599,27632003.0
2016-11-18,109.72,110.54,109.66,110.06,28428917.0,0.0,1.0,108.36479769593,109.17466949789,108.30553878359,108.70059819918,28428917.0
2016-11-21,110.12,111.99,110.01,111.73,29264571.0,0.0,1.0,108.75985711152,110.6067598794,108.65121577223,110.34997125926,29264571.0
2016-11-22,111.95,112.42,111.4,111.8,25965534.0,0.0,1.0,110.56725393784,111.03144875115,110.0240472414,110.41910665699,25965534.0
2016-11-23,111.36,111.51,110.33,111.23,27426394.0,0.0,1.0,109.98454129985,110.13268858069,108.9672633047,109.85614698978,27426394.0
2016-11-25,111.13,111.87,110.95,111.79,11475922.0,0.0,1.0,109.75738213588,110.48824205472,109.57960539887,110.4092301716,11475922.0
2016-11-28,111.43,112.465,111.39,111.57,27193983.0,0.0,1.0,110.05367669757,111.07589293541,110.01417075601,110.19194749303,27193983.0
2016-11-29,110.78,112.03,110.07,111.46,28528750.0,0.0,1.0,109.41170514724,110.64626582096,108.71047468457,110.08330615374,28528750.0
2016-11-30,111.56,112.2,110.27,110.52,36162258.0,0.0,1.0,110.18207100764,110.81416607258,108.90800439237,109.15491652711,36162258.0
2016-12-01,110.365,110.94,109.03,109.49,37086862.0,0.0,1.0,109.00183100357,109.56972891348,107.68332020404,108.13763853197,37086862.0
2016-12-02,109.17,110.09,108.85,109.9,26527997.0,0.0,1.0,107.8215909995,108.73022765535,107.50554346703,108.54257443295,26527997.0
2016-12-05,110.0,110.03,108.25,109.11,34324540.0,0.0,1.0,108.64133928684,108.67096874301,106.91295434364,107.76233208716,34324540.0
2016-12-06,109.5,110.36,109.19,109.95,26195462.0,0.0,1.0,108.14751501736,108.99689276087,107.84134397028,108.5919568599,26195462.0
2016-12-07,109.26,111.19,109.16,111.03,29998719.0,0.0,1.0,107.91047936801,109.81664104822,107.81171451411,109.65861728198,29998719.0
2016-12-08,110.86,112.43,110.6,112.12,27068316.0,0.0,1.0,109.49071703036,111.04132523654,109.23392841023,110.73515418946,27068316.0
2016-12-09,112.31,114.7,112.31,113.95,34402627.0,0.0,1.0,110.92280741187,113.28328742001,110.92280741187,112.54255101578,34402627.0
